stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
1213,1213,Croix Saint-Hélier,Rennes,48.10287126,-1.66143906,,,0
1214,1214,République,Rennes,48.10990137,-1.6796669,,,0
1216,1216,Le Mail,Rennes,48.10918893,-1.69030518,,,0
1217,1217,Chèques Postaux,Rennes,48.10845176,-1.69364366,,,0
1218,1218,Guilloux Lorient,Rennes,48.10910111,-1.69795527,,,0
1219,1219,Papeteries,Rennes,48.10824735,-1.70376126,,,0
1220,1220,Kerviler,Rennes,48.10914313,-1.70638498,,,0
1221,1221,Géniaux,Rennes,48.10886589,-1.71061365,,,0
1222,1222,Stade Rennais,Rennes,48.10807385,-1.71396182,,,0
1223,1223,Le Hô,Rennes,48.10622123,-1.72383097,,,0
1224,1224,Robinot de St Cyr,Rennes,48.10306403,-1.72335303,,,0
1225,1225,Jardin Moderne,Rennes,48.10218214,-1.72623505,,,0
1226,1226,Servigné,Rennes,48.10122369,-1.73169411,,,0
1229,1229,Servigné,Rennes,48.10118185,-1.73162775,,,0
1230,1230,Jardin Moderne,Rennes,48.10210977,-1.72691496,,,0
1231,1231,Robinot de St Cyr,Rennes,48.10328122,-1.72333208,,,0
1232,1232,Le Hô,Rennes,48.10625606,-1.72374575,,,0
1233,1233,Lemaistre,Rennes,48.10704452,-1.72187845,,,0
1234,1234,Stade Rennais,Rennes,48.10775888,-1.71484897,,,0
1235,1235,Géniaux,Rennes,48.10892663,-1.70977108,,,0
1236,1236,Kerviler,Rennes,48.10881331,-1.7056153,,,0
1237,1237,Papeteries,Rennes,48.10773621,-1.70211405,,,0
1238,1238,Guilloux Lorient,Rennes,48.10869591,-1.69884796,,,0
1239,1239,Chèques Postaux,Rennes,48.10814248,-1.6948685,,,0
1240,1240,Le Mail,Rennes,48.10927186,-1.68970708,,,0
1242,1242,République,Rennes,48.10980333,-1.6795219,,,0
1243,1243,Croix Saint-Hélier,Rennes,48.10254897,-1.66111869,,,0
1244,1244,Mouézy,Rennes,48.10229227,-1.65513195,,,0
1245,1245,Serpette,Rennes,48.10313609,-1.65250463,,,0
1246,1246,Cimetière de l'Est,Rennes,48.10439597,-1.64934184,,,0
1247,1247,Pavie,Rennes,48.10491097,-1.64382886,,,0
1248,1248,Saint-Saëns,Rennes,48.10398522,-1.63598216,,,0
1249,1249,Pré Garel,Rennes,48.1035598,-1.63465287,,,0
1250,1250,Tremblaie,Rennes,48.09978888,-1.63129425,,,0
1251,1251,Veyettes,Rennes,48.09707862,-1.62913256,,,0
1252,1252,Patton,Rennes,48.13876768,-1.66595729,,,0
1253,1253,Monts d'Arrée,Rennes,48.13666007,-1.66750822,,,0
1254,1254,Neruda,Rennes,48.13675375,-1.67105825,,,0
1255,1255,Condate,Rennes,48.13455033,-1.67297749,,,0
1256,1256,Bellangerais,Rennes,48.13264262,-1.67175832,,,0
1257,1257,Morbihan,Rennes,48.13269574,-1.66757286,,,0
1258,1258,Houx Cité U.,Rennes,48.13080831,-1.66390739,,,0
1259,1259,Rochester,Rennes,48.12800553,-1.6645754,,,0
1260,1260,Gros Chêne,Rennes,48.12670281,-1.66538386,,,0
1261,1261,Volney,Rennes,48.12528168,-1.66666402,,,0
1262,1262,Jules Ferry,Rennes,48.12147137,-1.67091812,,,0
1263,1263,Rectorat,Rennes,48.11963635,-1.67422912,,,0
1264,1264,Pont de Nantes,Rennes,48.10211461,-1.68438725,,,0
1265,1265,Foyer Rennais,Rennes,48.0997896,-1.68708791,,,0
1266,1266,Mermoz,Rennes,48.09708914,-1.68902834,,,0
1267,1267,Félix Eboué,Rennes,48.0857359,-1.69390359,,,0
1268,1268,Boberil,Rennes,48.08376367,-1.69360406,,,0
1269,1269,Lycée Bréquigny,Rennes,48.08423941,-1.69207225,,,0
1270,1270,Félix Eboué,Rennes,48.08578354,-1.69404539,,,0
1273,1273,Saint-Yves,Rennes,48.09269072,-1.69127533,,,0
1274,1274,Pilate,Rennes,48.09503109,-1.69000293,,,0
1275,1275,Mermoz,Rennes,48.09745816,-1.6885901,,,0
1276,1276,Foyer Rennais,Rennes,48.09970592,-1.68624612,,,0
1277,1277,Pont de Nantes,Rennes,48.1021686,-1.68416325,,,0
1278,1278,Hôtel Dieu,Rennes,48.11709412,-1.67786765,,,0
1279,1279,Rectorat,Rennes,48.11946401,-1.67448311,,,0
